company_id,img,model,src_link
208,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-tata-tigor-price-in-india.jpg/thumb/120,Tigor,https://autos.maxabout.com/cars/tata/tigor
208,https://ic1.maxabout.us/autos/cars_india//N/2021/9/new-tata-tigor-ev.jpg/thumb/120,Tigor EV,https://autos.maxabout.com/cars/tata/tigor-ev
208,https://ic1.maxabout.us/autos/cars_india//N/2022/6/new-tata-winger-15s-price-in-india.jpg/thumb/120,Winger,https://autos.maxabout.com/cars/tata/winger
208,https://ic1.maxabout.us/autos/cars_india//T/2021/9/tata-xpres-t.jpg/thumb/120,XPres-T EV,https://autos.maxabout.com/cars/tata/xpres-t-ev
210,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-toyota-camry-price-in-india.jpg/thumb/120,Camry,https://autos.maxabout.com/cars/toyota/camry
210,https://ic1.maxabout.us/autos/cars_india//N/2022/3/new-toyota-fortuner-price-in-india.jpg/thumb/120,Fortuner,https://autos.maxabout.com/cars/toyota/fortuner
210,https://ic1.maxabout.us/autos/cars_india//N/2022/3/new-toyota-glanza-price-in-india.jpg/thumb/120,Glanza,https://autos.maxabout.com/cars/toyota/glanza
210,https://ic1.maxabout.us/autos/cars_india//2/2021/2/2021-toyota-hiace.jpg/thumb/120,Hiace,https://autos.maxabout.com/cars/toyota/hiace
210,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-toyota-hilux-price-in-india.jpg/thumb/120,Hilux,https://autos.maxabout.com/cars/toyota/hilux
210,https://ic1.maxabout.us/autos/cars_india//N/2022/3/new-toyota-innova-crysta-price-in-india.jpg/thumb/120,Innova Crysta,https://autos.maxabout.com/cars/toyota/innova-crysta
210,https://ic1.maxabout.us/autos/cars_india//2/2021/3/2021-toyota-legender.jpg/thumb/120,Legender,https://autos.maxabout.com/cars/toyota/legender
210,https://ic1.maxabout.us/autos/cars_india//N/2022/3/new-toyota-urban-cruiser-price-in-india.jpg/thumb/120,Urban Cruiser,https://autos.maxabout.com/cars/toyota/urban-cruiser
210,https://ic1.maxabout.us/autos/cars_india//N/2022/3/new-toyota-vellfire-price-in-india.jpg/thumb/120,Vellfire,https://autos.maxabout.com/cars/toyota/vellfire
211,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-volkswagen-polo-gt-price-in-india.jpg/thumb/120,Polo,https://autos.maxabout.com/cars/volkswagen/polo
