link,title,logo_img,company_name,model_count,model_img,model_link,model_name,price_range
https://autos.maxabout.com/bikes/aprilia,Aprilia Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//A/2017/6/aprilia-autos-maxabout.jpg/,Aprilia,15,https://ic1.maxabout.us/autos/tw_india//A/2020/12/aprillia-rs-660-india.jpg/thumb/120,https://autos.maxabout.com/bikes/aprilia/rs,Aprilia RS,"₹ 13,39,000"
https://autos.maxabout.com/bikes/aprilia,Aprilia Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//A/2017/6/aprilia-autos-maxabout.jpg/,Aprilia,15,https://ic1.maxabout.us/autos/tw_india/aprilia-69/rsv4-factory.jpg/thumb/120,https://autos.maxabout.com/bikes/aprilia/rsv4,Aprilia RSV4,"₹ 20,71,000 - ₹ 26,83,000"
https://autos.maxabout.com/bikes/aprilia,Aprilia Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//A/2017/6/aprilia-autos-maxabout.jpg/,Aprilia,15,https://ic1.maxabout.us/autos/tw_india/aprilia-69/shiver-750.jpg/thumb/120,https://autos.maxabout.com/bikes/aprilia/shiver,Aprilia Shiver,"₹ 7,50,000 - ₹ 12,95,998"
https://autos.maxabout.com/bikes/aprilia,Aprilia Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//A/2017/6/aprilia-autos-maxabout.jpg/,Aprilia,15,https://ic1.maxabout.us/autos/tw_india//2/2020/6/2020-aprilia-sr-160.jpg/thumb/120,https://autos.maxabout.com/bikes/aprilia/sr-motard,Aprilia SR,"₹ 1,06,502 - ₹ 1,25,921"
https://autos.maxabout.com/bikes/aprilia,Aprilia Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//A/2017/6/aprilia-autos-maxabout.jpg/,Aprilia,15,https://ic1.maxabout.us/autos/tw_india//B/2020/6/bs6-aprilia-storm-125.jpg/thumb/120,https://autos.maxabout.com/bikes/aprilia/storm,Aprilia Storm,"₹ 88,711 - ₹ 1,11,171"
https://autos.maxabout.com/bikes/aprilia,Aprilia Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//A/2017/6/aprilia-autos-maxabout.jpg/,Aprilia,15,https://ic1.maxabout.us/autos/tw_india//2/2020/12/2021-aprilia-sxr-160.jpg/thumb/120,https://autos.maxabout.com/bikes/aprilia/sxr,Aprilia SXR,"₹ 1,31,664 - ₹ 1,42,802"
https://autos.maxabout.com/bikes/aprilia,Aprilia Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//A/2017/6/aprilia-autos-maxabout.jpg/,Aprilia,15,https://ic1.maxabout.us/autos/tw_india//A/2021/2/aprilia-tuono-660-2.jpg/thumb/120,https://autos.maxabout.com/bikes/aprilia/tuono,Aprilia Tuono,"₹ 1,30,000 - ₹ 20,66,000"
https://autos.maxabout.com/bikes/ather,Ather Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//A/2019/7/ather-energy.jpg/,Ather,1,https://ic1.maxabout.us/autos/tw_india//A/2021/11/ather-450x.jpg/thumb/120,https://autos.maxabout.com/bikes/ather/electric-scooter,Ather Electric Scooter,"₹ 1,38,006"
https://autos.maxabout.com/bikes/atlas,Atlas Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/atlas-30.jpg/,Atlas,2,https://ic1.maxabout.us/autos/tw_india/Atlas_Angel.jpg/thumb/120,https://autos.maxabout.com/bikes/atlas/angel,Atlas Angel,NA
https://autos.maxabout.com/bikes/atlas,Atlas Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/atlas-30.jpg/,Atlas,2,https://ic1.maxabout.us/autos/tw_india/Atlas_Classic.jpg/thumb/120,https://autos.maxabout.com/bikes/atlas/classic,Atlas Classic,NA
https://autos.maxabout.com/bikes/avan-motors,Avan Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//Y/2015/2/yash-logo.jpg/,Avan,1,https://ic1.maxabout.us/autos/tw_india//A/2019/9/avan-xero.jpg/thumb/120,https://autos.maxabout.com/bikes/avan/electric-scooter,Avan Electric Scooter,NA
https://autos.maxabout.com/bikes/avantura,Avantura Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//A/2017/11/avantura-choppers-india.jpg/,Avantura,1,https://ic1.maxabout.us/autos/tw_india//A/2017/11/avantura-pravega-chopper.jpg/thumb/120,https://autos.maxabout.com/bikes/avantura/chopper,Avantura Chopper,"₹ 21,40,000 - ₹ 23,90,000"
https://autos.maxabout.com/bikes/avon,Avon Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/avon-18.jpg/,Avon,6,https://ic1.maxabout.us/autos/tw_india/Avon_022_EB.jpg/thumb/120,https://autos.maxabout.com/bikes/avon/e-bike,Avon e-Bike,NA
https://autos.maxabout.com/bikes/avon,Avon Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/avon-18.jpg/,Avon,6,https://ic1.maxabout.us/autos/tw_india/Avon_e_lite.jpg/thumb/120,https://autos.maxabout.com/bikes/avon/e-lite,Avon e-Lite,NA
https://autos.maxabout.com/bikes/avon,Avon Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/avon-18.jpg/,Avon,6,https://ic1.maxabout.us/autos/tw_india/Avon_e_magic.jpg/thumb/120,https://autos.maxabout.com/bikes/avon/e-magic,Avon e-Magic,NA
https://autos.maxabout.com/bikes/avon,Avon Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/avon-18.jpg/,Avon,6,https://ic1.maxabout.us/autos/tw_india/Avon_e_plus.jpg/thumb/120,https://autos.maxabout.com/bikes/avon/e-plus,Avon e-Plus,NA
https://autos.maxabout.com/bikes/avon,Avon Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/avon-18.jpg/,Avon,6,https://ic1.maxabout.us/autos/tw_india/Avon_E_scoot.jpg/thumb/120,https://autos.maxabout.com/bikes/avon/e-scoot,Avon e-Scoot,NA
https://autos.maxabout.com/bikes/bajaj,Bajaj Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2020/5/latest-bajaj-bikes-india.jpg/,Bajaj,45,https://ic1.maxabout.us/autos/tw_india//N/2022/2/new-bajaj-avenger-160-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/bajaj/avenger,Bajaj Avenger,"₹ 81,000 - ₹ 1,60,000"
https://autos.maxabout.com/bikes/bajaj,Bajaj Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2020/5/latest-bajaj-bikes-india.jpg/,Bajaj,45,https://ic1.maxabout.us/autos/tw_india//N/2022/7/new-bajaj-chetak-premium-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/bajaj/chetak,Bajaj Chetak,"₹ 26,899 - ₹ 1,51,958"
https://autos.maxabout.com/bikes/bajaj,Bajaj Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2020/5/latest-bajaj-bikes-india.jpg/,Bajaj,45,https://ic1.maxabout.us/autos/tw_india//N/2022/2/new-bajaj-ct110x-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/bajaj/ct100,Bajaj CT,"₹ 32,000 - ₹ 71,354"
https://autos.maxabout.com/bikes/bajaj,Bajaj Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2020/5/latest-bajaj-bikes-india.jpg/,Bajaj,45,https://ic1.maxabout.us/autos/tw_india//B/2021/6/bajaj-dominar-400-image.jpg/thumb/120,https://autos.maxabout.com/bikes/bajaj/dominar,Bajaj Dominar,"₹ 1,40,000 - ₹ 2,23,538"
https://autos.maxabout.com/bikes/bajaj,Bajaj Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2020/5/latest-bajaj-bikes-india.jpg/,Bajaj,45,https://ic1.maxabout.us/autos/tw_india//N/2022/2/new-bajaj-platina-110-es-disc-price-in-india.jpg/thumb/120,https://autos.maxabout.com/bikes/bajaj/platina,Bajaj Platina,"₹ 42,000 - ₹ 69,216"
