link,title,logo_img,company_name,model_count
https://autos.maxabout.com/bikes/evolet,Evolet Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//E/2019/9/evolet-electric-india.jpg/,Evolet,4
https://autos.maxabout.com/bikes/fab-regal-raptor,FAB Regal Raptor Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//R/2015/2/regal-raptor-logo.jpg/,FAB Regal Raptor,3
https://autos.maxabout.com/bikes/fb-mondial,FB Mondial Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//F/2018/10/fb-mondial.jpg/,FB Mondial,1
https://autos.maxabout.com/bikes/gemopai,Gemopai Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//G/2019/9/gemopai.jpg/,Gemopai,1
https://autos.maxabout.com/bikes/genxt,GenXT Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/genxt-39.jpg/,GenXT,2
https://autos.maxabout.com/bikes/global-auto,Global Auto Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/global-auto-16.jpg/,Global Auto,3
https://autos.maxabout.com/bikes/gpx,GPX Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//G/2020/7/gpx-bikes-india.jpg/,GPX,1
https://autos.maxabout.com/bikes/green-electric,Green Electric Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/green-electric-51.jpg/,Green Electric,2
https://autos.maxabout.com/bikes/harley-davidson,Harley-Davidson Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//H/2017/6/harley-davidson-autos-maxabout.jpg/,Harley-Davidson,16
https://autos.maxabout.com/bikes/hero-motocorp,Hero Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//H/2017/6/hero-bikes-autos-maxabout.jpg/,Hero,47
https://autos.maxabout.com/bikes/hero-electric,Hero Electric Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/hero-electric-17.jpg/,Hero Electric,20
https://autos.maxabout.com/bikes/hero-honda,Hero Honda Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/hero-honda-2.jpg/,Hero Honda,12
https://autos.maxabout.com/bikes/hi-bird,Hi-Bird Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//H/2015/2/hi-bird-logo.jpg/,Hi-Bird,1
https://autos.maxabout.com/bikes/hollister-estd,Hollister Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/hollister-estd-72.jpg/,Hollister,1
https://autos.maxabout.com/bikes/honda,Honda Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//H/2017/6/honda-autos-maxabout.jpg/,Honda,91
https://autos.maxabout.com/bikes/husqvarna,Husqvarna Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/husqvarna-77.jpg/,Husqvarna,3
https://autos.maxabout.com/bikes/hyosung,Hyosung Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//H/2017/6/hyosung-autos-maxabout.jpg/,Hyosung,14
https://autos.maxabout.com/bikes/indian,Indian Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//I/2017/6/indian-motorcycles-autos-maxabout.jpg/,Indian,9
https://autos.maxabout.com/bikes/jawa,Jawa Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2020/5/latest-jawa-bikes-india.jpg/,Jawa,8
https://autos.maxabout.com/bikes/joy,Joy Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/doon-46-zoom.jpg/,Joy,2
https://autos.maxabout.com/bikes/kanda,Kanda Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/kanda-15.jpg/,Kanda,3
